Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
25 lines of code for unit FilterController.initialize(),LOW,RAW,8,FilterController.initialize(),client/scripts/controllers/filter-controller.ts#L77:108,TypeScript,25,3,0
"25 lines of code for unit NotificationController.authenticateToken(Request,Response,NextFunction)",LOW,RAW,1,"NotificationController.authenticateToken(Request,Response,NextFunction)",server/controllers/notification.controller.ts#L37:67,TypeScript,25,4,3
"25 lines of code for unit FilterController.fetchStops(string,string)",LOW,RAW,8,"FilterController.fetchStops(string,string)",client/scripts/controllers/filter-controller.ts#L750:780,TypeScript,25,8,2
25 lines of code for unit FilterController.fetchRouteGeometry(string),LOW,RAW,8,FilterController.fetchRouteGeometry(string),client/scripts/controllers/filter-controller.ts#L656:686,TypeScript,25,7,1
24 lines of code for unit BusController.initializeRoutes(),LOW,RAW,8,BusController.initializeRoutes(),server/controllers/transit.controller.ts#L46:69,TypeScript,24,1,0
"24 lines of code for unit GTFSService.filterRoutesByDateTime(Date,string)",LOW,RAW,8,"GTFSService.filterRoutesByDateTime(Date,string)",server/services/gtfs.service.ts#L412:440,TypeScript,24,8,2
24 lines of code for unit TrueTimeService.getPredictions(string),LOW,RAW,8,TrueTimeService.getPredictions(string),server/services/truetime.service.ts#L312:339,TypeScript,24,8,1
"24 lines of code for unit NotificationController.subscribe(Request,Response)",LOW,RAW,1,"NotificationController.subscribe(Request,Response)",server/controllers/notification.controller.ts#L87:113,TypeScript,24,3,2
23 lines of code for unit FilterController.applyRouteFilter(string),LOW,RAW,8,FilterController.applyRouteFilter(string),client/scripts/controllers/filter-controller.ts#L343:380,TypeScript,23,4,1
23 lines of code for unit account.ts.refreshUserSelectorOptions(),LOW,RAW,8,account.ts.refreshUserSelectorOptions(),client/scripts/account.ts#L766:791,TypeScript,23,3,0
23 lines of code for unit TransitModel.buildColoredRoutes(),LOW,RAW,8,TransitModel.buildColoredRoutes(),server/models/transit.model.ts#L407:434,TypeScript,23,5,0
22 lines of code for unit auth.ts.setInputError(string),LOW,RAW,8,auth.ts.setInputError(string),client/scripts/auth.ts#L79:100,TypeScript,22,9,1
22 lines of code for unit VehicleTracker.renderVehicles(IVehicle[]),LOW,RAW,8,VehicleTracker.renderVehicles(IVehicle[]),client/scripts/trackers/vehicle-tracker.ts#L154:188,TypeScript,22,3,1
"22 lines of code for unit NotificationController.getAlerts(Request,Response)",LOW,RAW,1,"NotificationController.getAlerts(Request,Response)",server/controllers/notification.controller.ts#L194:217,TypeScript,22,3,2
22 lines of code for unit VehicleTracker.showToast(string),LOW,RAW,8,VehicleTracker.showToast(string),client/scripts/trackers/vehicle-tracker.ts#L331:356,TypeScript,22,1,1
21 lines of code for unit TogglePanel.attachEventListeners(),LOW,RAW,8,TogglePanel.attachEventListeners(),client/scripts/components/toggle-panel.ts#L96:121,TypeScript,21,3,0
21 lines of code for unit account.ts.loadAccount(string),LOW,RAW,8,account.ts.loadAccount(string),client/scripts/account.ts#L732:756,TypeScript,21,7,1
21 lines of code for unit FilterController.fetchPredictions(string),LOW,RAW,8,FilterController.fetchPredictions(string),client/scripts/controllers/filter-controller.ts#L798:819,TypeScript,21,5,1
"21 lines of code for unit BusController.getVehicles(Request,Response)",LOW,RAW,8,"BusController.getVehicles(Request,Response)",server/controllers/transit.controller.ts#L1094:1118,TypeScript,21,4,2
21 lines of code for unit MongoDB.connect(),LOW,RAW,8,MongoDB.connect(),server/db/mongo.db.ts#L147:168,TypeScript,21,2,0
"21 lines of code for unit map.ts.showModal(string,string)",LOW,RAW,8,"map.ts.showModal(string,string)",client/scripts/map.ts#L52:64,TypeScript,21,5,2
"21 lines of code for unit MemoryMonitorService.persistSample(string,IMemorySummary)",LOW,RAW,8,"MemoryMonitorService.persistSample(string,IMemorySummary)",server/services/memory-monitor.service.ts#L234:259,TypeScript,21,2,2
"21 lines of code for unit EmailService.sendEmail(string,string,string)",LOW,RAW,8,"EmailService.sendEmail(string,string,string)",server/services/email.service.ts#L34:60,TypeScript,21,2,3
20 lines of code for unit AccountController.initializeRoutes(),LOW,RAW,8,AccountController.initializeRoutes(),server/controllers/account.controller.ts#L24:48,TypeScript,20,1,0
"20 lines of code for unit map.ts.addUserLocationMarker(number,number)",LOW,RAW,8,"map.ts.addUserLocationMarker(number,number)",client/scripts/map.ts#L769:792,TypeScript,20,2,2
20 lines of code for unit TimePickerPanel.renderClock(),LOW,RAW,8,TimePickerPanel.renderClock(),client/scripts/components/time-picker.ts#L156:178,TypeScript,20,2,0
20 lines of code for unit MapStateManager.resetFilters(),LOW,RAW,8,MapStateManager.resetFilters(),client/scripts/state/map-state.ts#L135:154,TypeScript,20,1,0
20 lines of code for unit RouteRenderer.clearRoutePolylines(string),LOW,RAW,8,RouteRenderer.clearRoutePolylines(string),client/scripts/renderers/route-renderer.ts#L404:429,TypeScript,20,4,1
"19 lines of code for unit AccountController.handleError(Response,unknown)",LOW,RAW,8,"AccountController.handleError(Response,unknown)",server/controllers/account.controller.ts#L678:697,TypeScript,19,6,2
"19 lines of code for unit TransitModel.getStops(string,string)",LOW,RAW,8,"TransitModel.getStops(string,string)",server/models/transit.model.ts#L134:153,TypeScript,19,4,2
19 lines of code for unit GTFSService.filterRoutesByDate(Date),LOW,RAW,8,GTFSService.filterRoutesByDate(Date),server/services/gtfs.service.ts#L384:405,TypeScript,19,5,1
19 lines of code for unit serve.ts,LOW,RAW,8,serve.ts,server/serve.ts#L1:33,TypeScript,19,2,0
19 lines of code for unit FilterController.showServiceBanner(string[]),LOW,RAW,8,FilterController.showServiceBanner(string[]),client/scripts/controllers/filter-controller.ts#L1037:1057,TypeScript,19,3,1
