route_id,segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,4,2f6adb99-2fe7-4afd-b4e4-d61981ececd7,c12d429c-2505-4899-b9fe-c9ce1842b7ce,509,69
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,5,4830c68a-c279-438b-8a6f-79443f5202fb,8810fd5d-2658-4fb8-b54f-3746373393c0,549,141
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,6,49c6247e-131e-4c0b-968e-665e5f320ba3,076c69a1-d116-4350-991f-e18676b95b43,100,16
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,7,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,2f6adb99-2fe7-4afd-b4e4-d61981ececd7,1276,152
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,8,51226a6f-d93c-4d30-9f2e-616520ca4fef,2b4ab56e-c7bc-4962-84f8-fab85b5f2482,410,61
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,9,51226a6f-d93c-4d30-9f2e-616520ca4fef,5467d029-3b8f-4231-98c7-8090078a3642,332,55
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,10,5467d029-3b8f-4231-98c7-8090078a3642,51226a6f-d93c-4d30-9f2e-616520ca4fef,332,56
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,11,5467d029-3b8f-4231-98c7-8090078a3642,8147e144-03bc-4812-90dc-9668c43d847a,288,66
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,12,5e91626f-13ea-4af1-a4de-f3e56109a7e0,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,164,19
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,13,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,a1e0a969-63dd-407e-b114-68aa4eaffaeb,153,20
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,14,64aa846f-36fb-446d-99c4-cd33e19583de,f32c4dc4-4df2-457f-9b7a-240aa8a48667,200,36
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,15,8147e144-03bc-4812-90dc-9668c43d847a,5467d029-3b8f-4231-98c7-8090078a3642,288,59
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,16,8147e144-03bc-4812-90dc-9668c43d847a,f32c4dc4-4df2-457f-9b7a-240aa8a48667,1707,244
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,17,8810fd5d-2658-4fb8-b54f-3746373393c0,49c6247e-131e-4c0b-968e-665e5f320ba3,658,129
